Provincia;Localidad;Denominación genérica;Denominación específica;Código;Naturaleza;Domicilio;C. Postal;Teléfono
Madrid;Alalpardo;Centro Privado de Educación Infantil Primaria y Secundaria;COLEGIO ARULA;28067434;Centro privado;CALLE de Alcalá (Alalpardo) 23;28130;916205198
Madrid;Alcalá de Henares;Centro Privado de Formación Profesional Específica;LAS NAVES SALESIANOS ALCALA;28072296;Centro privado;CALLE Río Tajuña 2;28803;918816939
Madrid;Alcalá de Henares;Instituto de Educación Secundaria;ALONSO DE AVELLANEDA;28000467;Centro público;CALLE Vitoria 3;28804;918881174
Madrid;Alcobendas;Centro Privado de Educación Infantil Primaria y Secundaria;ARETEIA;28042346;Centro privado;CALLE de la Salvia 24;28109;916509102
Madrid;Alcobendas;Centro Privado de Formación Profesional Específica;CENTRO PROFESIONAL EUROPEO DE MADRID-ESTUDIOS PROFESIONALES SUPERIORES;28075844;Centro privado;AVDA de Fernando Alonso;28108;912115052
Madrid;Alcobendas;Instituto de Educación Secundaria;VIRGEN DE LA PAZ;28038070;Centro público;CALLE de Francisco Chico Mendes 4;28108;916615943
Madrid;Alcorcón;Centro Privado de Educación Infantil Primaria y Secundaria;COLEGIO JUAN PABLO II;28070871;Centro privado;CALLE Democracia s/n;28922;916430950
Madrid;Alcorcón;Centro Privado de Educación Infantil Primaria y Secundaria;NUESTRA SEÑORA DE LOS REMEDIOS;28000960;Centro privado;CALLE de los Guindales 17;28921;916194981
Madrid;Alcorcón;Centro Privado de Educación Primaria y Secundaria;ANDEL;28064214;Centro privado;CMNO Fuentecisneros 39;28922;916655239
Madrid;Alcorcón;Centro Privado de Formación Profesional Específica;CDM ESCUELA DE PROFESIONES DIGITALES;28078729;Centro privado;CALLE de Estambul 24;28922;910005006
Madrid;Alcorcón;Centro Privado de Formación Profesional Específica;CENTRO DE ESTUDIOS SUPERIORES JUAN PABLO II;28075182;Centro privado;CALLE de Estocolmo 1bis;28922;910149867
Madrid;Alcorcón;Centro Privado de Formación Profesional Específica;JUAN XXIII;28039529;Centro privado;CALLE Nueva 2;28921;916438326
